'name,code,asset_amount,currency_amount,domain
Gatos Silver Inc.,GATO,3999999553 GATO,$0.677,silver.stellar-commodities.com
TAI,TAI,2140999999 TAI,$0.671,No Domain
PJSC Polyus,PLZL,2146999999 PLZL,$0.662,gold.stellar-commodities.com
INDUSXGOLD,INDUSXGOLD,30590434.57 INDUSXGOLD,$0.660,No Domain
USAS,USAS,2146999999 USAS,$0.656,gold.stellar-commodities.com
AYA,AYA,2146999999 AYA,$0.654,No Domain
INDUSX,INDUSX,26294156.26 INDUSX,$0.653,No Domain
Rio Tinto Group,RIO,2146999999 RIO,$0.649,iron.stellar-commodities.com
Sandstorm Gold Ltd.,SSAU,2146994444 SSAU,$0.649,gold.stellar-commodities.com
Rosneft Oil Company,RSNFT,2146999999 RSNFT,$0.647,gas.stellar-commodities.com
INDUSXRUBLE,INDUSXRUBLE,30000000 INDUSXRUBLE,$0.646,No Domain
McCafe,MCD,1009999370 MCD,$0.641,coffee.stellar-commodities.com
GOA LANDBANK,GOI,162799994.90 GOI,$0.640,agrogenesis.in
Georgia Pacific,GPFC,1999999999 GPFC,$0.639,forestry.stellar-commodities.com
Rio Tinto Group,RIO,1999999999 RIO,$0.634,uranium.stellar-commodities.com
BVN,BVN,3999998873 BVN,$0.619,silver.stellar-commodities.com
Norilsk Nickel,NNIC,1999999999 NNIC,$0.619,iron.stellar-commodities.com
POLY,POLY,4293999998 POLY,$0.613,gold.stellar-commodities.com
CPAL,CPAL,2140999999 CPAL,$0.604,No Domain
USSILVER,USSILVER,1735585.73 USSILVER,$0.595,No Domain
Copper Miners ETF,COPX,1112330753 COPX,$0.588,StellarETFs.com
Fresnillo,FNLPF,4146999368 FNLPF,$0.578,silver.stellar-commodities.com
Sovereign Gold Bonds,SGB,1464002404 SGB,$0.566,swisscustody.org
Coeur Mining Inc.,COEUR,3999999443 COEUR,$0.558,silver.stellar-commodities.com
Endeavour Mining,EDV,2146999999 EDV,$0.545,gold.stellar-commodities.com
NOKA,NOKA,2109999999 NOKA,$0.533,No Domain
Duke Energy Corp,DUKE,2146999999 DUKE,$0.531,gas.stellar-commodities.com
ITALYGOLD,ITALYGOLD,34779397.93 ITALYGOLD,$0.529,No Domain
RIPPLE,RIPPLE,83887363.64 RIPPLE,$0.525,No Domain
MAG,MAG,345489657.16 MAG,$0.521,No Domain
SIVR,SIVR,3999999973 SIVR,$0.507,silver.stellar-commodities.com
BHP Billiton,BLTN,1999999999 BLTN,$0.507,iron.stellar-commodities.com
INDUSXIPAY,INDUSXIPAY,39999988 INDUSXIPAY,$0.507,No Domain
IBM Semiconductors,IBM,1999999999 IBM,$0.506,silicon.stellar-commodities.com
TENCENT,TENCENT,1959217942 TENCENT,$0.497,No Domain
TotalEnergies SE,TOTE,2146999999 TOTE,$0.495,gas.stellar-commodities.com
Hecla Mining,HL,2146999999 HL,$0.478,gold.stellar-commodities.com
Peet’s Coffee,PEET,1029444777 PEET,$0.475,coffee.stellar-commodities.com
AGROEQUITY,FARM,29904021 FARM,$0.474,agrogenesis.in
Rio Tinto Group,TINTO,999999999 TINTO,$0.461,aluminum.stellar-commodities.com
Paladin Energy Ltd.,PDN,2146999999 PDN,$0.454,uranium.stellar-commodities.com
Mega Uranium Ltd.,MGA,2146999999 MGA,$0.454,uranium.stellar-commodities.com
Navoi Mining,NMMC,2146999999 NMMC,$0.454,uranium.stellar-commodities.com
KAP,KAP,2146999999 KAP,$0.454,uranium.stellar-commodities.com
BAIR,BAIR,2140999999 BAIR,$0.453,No Domain
Valore Metals Corp.,VAL,2146999999 VAL,$0.452,uranium.stellar-commodities.com
AMD,AMD,2157000000 AMD,$0.446,silicon.stellar-commodities.com
LG,LG,159394495.63 LG,$0.445,No Domain
SNA,SNA,2099999997 SNA,$0.444,aluminum.stellar-commodities.com
GOLDTRADE,GOLDTRADE,4166666.67 GOLDTRADE,$0.433,No Domain
Rayonier Inc.,RYN,1999999994 RYN,$0.423,forestry.stellar-commodities.com
Uranium Energy Corp.,UEC,1999999999 UEC,$0.422,uranium.stellar-commodities.com
Coeur Mining Inc.,CDE,2146999999 CDE,$0.419,gold.stellar-commodities.com
UROY,UROY,2146999999 UROY,$0.419,uranium.stellar-commodities.com
Iberdrola,IBD,2146999999 IBD,$0.419,gas.stellar-commodities.com
CENP,CENP,2140999999 CENP,$0.418,No Domain
B2Gold,BTG,2146999999 BTG,$0.413,gold.stellar-commodities.com
92 Energy Ltd.,92E,2146999999 92E,$0.413,uranium.stellar-commodities.com
QAL,QAL,2099999997 QAL,$0.410,aluminum.stellar-commodities.com
Tata Coffee,TACF,2099999444 TACF,$0.410,coffee.stellar-commodities.com
Strauss Group Ltd.,STRS,2099999444 STRS,$0.410,coffee.stellar-commodities.com
Petropavlovsk PLC,POG,2146999999 POG,$0.408,gold.stellar-commodities.com
Energy Fuels Inc.,EFI,2146999999 EFI,$0.407,uranium.stellar-commodities.com
United Company RUSAL,RUSAL,2099999997 RUSAL,$0.407,aluminum.stellar-commodities.com
Zinzino AB,ZZB,2099999987 ZZB,$0.404,coffee.stellar-commodities.com
THC,THC,2094444444 THC,$0.403,coffee.stellar-commodities.com
Sumitomo Forestry,SFY,2098798798 SFY,$0.397,forestry.stellar-commodities.com
Weyerhaeuser Company,WEY,1999999999 WEY,$0.390,forestry.stellar-commodities.com
BHP Billiton,BHP,1999999999 BHP,$0.390,coal.stellar-commodities.com
Vedanta Limited,VEDL,1999999998 VEDL,$0.390,aluminum.stellar-commodities.com
Gold Fields Ltd.,GFI,2146999999 GFI,$0.389,gold.stellar-commodities.com
Rockwell Diamonds,RKWL,2146999999 RKWL,$0.389,diamond.stellar-commodities.com
Adani Power Ltd,ADPW,2146999999 ADPW,$0.389,gas.stellar-commodities.com
CGN,CGN,2146999999 CGN,$0.389,uranium.stellar-commodities.com
Aura Energy Ltd.,AURA,2146999999 AURA,$0.389,uranium.stellar-commodities.com
Anfield Energy Inc.,AEC,2146999999 AEC,$0.389,uranium.stellar-commodities.com
ERA,ERA,2146999999 ERA,$0.389,uranium.stellar-commodities.com
Bannerman Energy,BMN,2146999999 BMN,$0.389,uranium.stellar-commodities.com
Ur-Energy Inc.,URE,2146999999 URE,$0.389,uranium.stellar-commodities.com
Manhattan Corp. Ltd.,MHC,2146999999 MHC,$0.389,uranium.stellar-commodities.com
IsoEnergy Ltd,ISO,2146999999 ISO,$0.389,uranium.stellar-commodities.com
RFP,RFP,1999999996 RFP,$0.387,forestry.stellar-commodities.com
WUC,WUC,2146999999 WUC,$0.386,uranium.stellar-commodities.com
Anglo American PLC,AAL,1999999999 AAL,$0.384,coal.stellar-commodities.com
Franco-Nevada Corp.,FNV,1999999999 FNV,$0.384,iron.stellar-commodities.com
MADN,MADN,1999999963 MADN,$0.384,aluminum.stellar-commodities.com
Azincourt Energy,AAZ,2146999999 AAZ,$0.381,uranium.stellar-commodities.com
ALX Uranium Corp.,ALX,2146999999 ALX,$0.381,uranium.stellar-commodities.com
