'name,code,asset_amount,currency_amount,domain
Koppers Holdings,KPRS,2099999994 KPRS,$0.124,forestry.stellar-commodities.com
VUI,VUI,700000015 VUI,$0.124,uranium.stellar-commodities.com
RUGOLD,RUGOLD,7019793.27 RUGOLD,$0.124,No Domain
CASILVERSALE,CASILVERSALE,1666666.67 CASILVERSALE,$0.123,No Domain
RHTRANSFER,RHTRANSFER,1666666.67 RHTRANSFER,$0.122,No Domain
USGOLD,USGOLD,284090.92 USGOLD,$0.122,No Domain
RUGOLDMINE,RUGOLDMINE,845026.55 RUGOLDMINE,$0.120,No Domain
TLK,TLK,2009999997 TLK,$0.119,forestry.stellar-commodities.com
Qualcomm,QCOM,1999999999 QCOM,$0.118,silicon.stellar-commodities.com
NXP Semiconductors,NXPI,1999999999 NXPI,$0.118,silicon.stellar-commodities.com
Sierra-Pacific,SPX,1999999999 SPX,$0.118,forestry.stellar-commodities.com
Masco Corporation,MAS,1999999999 MAS,$0.118,forestry.stellar-commodities.com
Boise Cascade Co.,BCC,1999999999 BCC,$0.118,forestry.stellar-commodities.com
Nippon Steel Corp.,NPN,1999999999 NPN,$0.118,steel.stellar-commodities.com
JELD-WEN Holding,JELD,1999999944 JELD,$0.118,forestry.stellar-commodities.com
Canfor Corporation,CFP,1999999876 CFP,$0.118,forestry.stellar-commodities.com
Norbord Inc.,NRBD,1996969694 NRBD,$0.118,forestry.stellar-commodities.com
FIVR,FIVR,310526334.21 FIVR,$0.118,No Domain
SILVERTRADE,SILVERTRADE,3879310.34 SILVERTRADE,$0.118,No Domain
ITGOLDSALES,ITGOLDSALES,2941176.47 ITGOLDSALES,$0.118,No Domain
GOLDTRANSFER,GOLDTRANSFER,1666666.67 GOLDTRANSFER,$0.118,No Domain
QNB,QNB,130002002.69 QNB,$0.117,No Domain
GOLDMINE,GOLDMINE,2083333.33 GOLDMINE,$0.116,No Domain
SLVRTRANSFER,SLVRTRANSFER,1759834.37 SLVRTRANSFER,$0.116,No Domain
GOLDRESERVE,GOLDRESERVE,752129.88 GOLDRESERVE,$0.115,No Domain
CONT,CONT,1537064179 CONT,$0.114,No Domain
INSILVERSALE,INSILVERSALE,2941176.47 INSILVERSALE,$0.112,No Domain
AUSILVERSALE,AUSILVERSALE,1470588.24 AUSILVERSALE,$0.112,No Domain
SILVERMINE,SILVERMINE,1724137.93 SILVERMINE,$0.109,No Domain
GSINDUS,GSINDUS,518409.20 GSINDUS,$0.108,No Domain
DEGOLDSALES,DEGOLDSALES,1877289.38 DEGOLDSALES,$0.107,No Domain
RHODIUMMINE,RHODIUMMINE,1282051.28 RHODIUMMINE,$0.107,No Domain
SLVRDIVIDEND,SLVRDIVIDEND,714285.71 SLVRDIVIDEND,$0.105,No Domain
FARMBOND 110.1%,FB01,234701889.95 FB01,$0.104,agrogenesis.in
MEITUAN,MEITUAN,210006999.90 MEITUAN,$0.102,No Domain
IPAYSWISS,IPAYSWISS,6666668 IPAYSWISS,$0.101,No Domain
RHODIUMSPOT,RHODIUMSPOT,352113.42 RHODIUMSPOT,$0.101,No Domain
Pirelli,PIRC,1696969696 PIRC,$0.100,rubber.stellar-commodities.com
Xstrata,XST,400000699 XST,$0.100,platinum.stellar-commodities.com
CAGOLDSALES,CAGOLDSALES,2631578.95 CAGOLDSALES,$0.100,No Domain
GOLDSPOT,GOLDSPOT,1001224.84 GOLDSPOT,$0.0991,No Domain
USGOLDMINE,USGOLDMINE,2631578.95 USGOLDMINE,$0.0935,No Domain
RR,RR,305598255.80 RR,$0.0923,No Domain
AUGOLDSALES,AUGOLDSALES,1136363.64 AUGOLDSALES,$0.0923,No Domain
Century Aluminum Co.,CENX,1444444444 CENX,$0.0917,aluminum.stellar-commodities.com
SEBA,SEBA,1285443.20 SEBA,$0.0913,swisscustody.org
IPAYJP,IPAYJP,3648645.45 IPAYJP,$0.0906,No Domain
KOCH,KOCH,262553196 KOCH,$0.0894,No Domain
USSILVERSALE,USSILVERSALE,2909090.91 USSILVERSALE,$0.0886,No Domain
IPAY,IPAY,1833337.33 IPAY,$0.0884,No Domain
MELD,MELD,111709.46 MELD,$0.0882,No Domain
CAGOLDMINE,CAGOLDMINE,3846154.34 CAGOLDMINE,$0.0878,No Domain
CASILVER,CASILVER,2857142.86 CASILVER,$0.0870,No Domain
NOVA,NOVA,565608723.91 NOVA,$0.0857,No Domain
AUGOLDMINE,AUGOLDMINE,1724137.93 AUGOLDMINE,$0.0831,No Domain
GOLDINVEST,GOLDINVEST,1724137.93 GOLDINVEST,$0.0828,No Domain
DGX,DGX,103532.92 DGX,$0.0817,No Domain
DUTCHSILVER,DUTCHSILVER,3571428.57 DUTCHSILVER,$0.0816,No Domain
FRSILVERSALE,FRSILVERSALE,3571428.57 FRSILVERSALE,$0.0816,No Domain
AWG,AWG,177426.85 AWG,$0.0810,No Domain
RHODIUMBUY,RHODIUMBUY,3448275.86 RHODIUMBUY,$0.0787,No Domain
INDIAGOLD,INDIAGOLD,1470588.24 INDIAGOLD,$0.0783,No Domain
GEC,GEC,61451000 GEC,$0.0780,No Domain
Lonmin PLC,LNM,275000100 LNM,$0.0775,platinum.stellar-commodities.com
DEGOLDMINE,DEGOLDMINE,2325581.40 DEGOLDMINE,$0.0767,No Domain
AGLD,AGLD,94620.75 AGLD,$0.0756,No Domain
RHBULLION,RHBULLION,2083496.09 RHBULLION,$0.0740,No Domain
INDUSGOLD,INDUSGOLD,2080952 INDUSGOLD,$0.0739,No Domain
KGHM,KGHM,375000019 KGHM,$0.0711,platinum.stellar-commodities.com
SILVERNOTE,SILVERNOTE,1065199 SILVERNOTE,$0.0703,No Domain
FRGOLDMINE,FRGOLDMINE,1428571.43 FRGOLDMINE,$0.0689,No Domain
SLVRBULLION,SLVRBULLION,833333.67 SLVRBULLION,$0.0684,No Domain
PGM,PGM,350000099 PGM,$0.0683,platinum.stellar-commodities.com
JPGOLDMINE,JPGOLDMINE,1669449.08 JPGOLDMINE,$0.0678,No Domain
JPSILVERMINE,JPSILVERMINE,1666666.67 JPSILVERMINE,$0.0677,No Domain
Toyoda Gosei,TOYO,1000000004 TOYO,$0.0668,rubber.stellar-commodities.com
SLV,SLV,205052493.64 SLV,$0.0668,No Domain
GAZ,GAZ,10000000 GAZ,$0.0660,No Domain
SILVERPAY,SILVERPAY,2000000 SILVERPAY,$0.0660,No Domain
GOLDNOTEUSA,GOLDNOTEUSA,5005005 GOLDNOTEUSA,$0.0643,No Domain
IPAYRU,IPAYRU,2500000 IPAYRU,$0.0634,No Domain
CAGOLD,CAGOLD,2083333.33 CAGOLD,$0.0634,No Domain
IPAYSA,IPAYSA,16581631.59 IPAYSA,$0.0631,No Domain
JAPANSILVER,JAPANSILVER,2083333.33 JAPANSILVER,$0.0631,No Domain
PETRO,PETRO,990000000 PETRO,$0.0628,gas.stellar-commodities.com
IPAYSWEDE,IPAYSWEDE,8130081.30 IPAYSWEDE,$0.0619,No Domain
INGOLDMINE,INGOLDMINE,2127660.31 INGOLDMINE,$0.0615,No Domain
DESILVERMINE,DESILVERMINE,1730103.81 DESILVERMINE,$0.0615,No Domain
Hankook Tire & Tech.,HNK,1000000004 HNK,$0.0591,rubber.stellar-commodities.com
VLN,VLN,464597761 VLN,$0.0589,No Domain
INSILVERMINE,INSILVERMINE,1785714.29 INSILVERMINE,$0.0589,No Domain
TSLA,TSLA,29782499.54 TSLA,$0.0580,No Domain
RHINVEST,RHINVEST,1886793 RHINVEST,$0.0574,No Domain
GOLDPAY,GOLDPAY,1502629.60 GOLDPAY,$0.0571,No Domain
DEGOLD,DEGOLD,2785516 DEGOLD,$0.0565,No Domain
FRENCHGOLD,FRENCHGOLD,4922291.54 FRENCHGOLD,$0.0562,No Domain
IPAYFIN,IPAYFIN,19000000 IPAYFIN,$0.0555,No Domain
AFREUM,AFR,517.65 AFR,$0.0550,afreum.com
DUTCHGOLD,DUTCHGOLD,3571428.57 DUTCHGOLD,$0.0544,No Domain
SARHODIUM,SARHODIUM,625000 SARHODIUM,$0.0540,No Domain
INDIASILVER,INDIASILVER,1111111.11 INDIASILVER,$0.0536,No Domain
IPAYBE,IPAYBE,6439150.03 IPAYBE,$0.0531,No Domain
CAMT,CAMT,822222330 CAMT,$0.0522,No Domain
AUGOLD,AUGOLD,1470588.24 AUGOLD,$0.0522,No Domain
CASILVERMINE,CASILVERMINE,1470588.24 CASILVERMINE,$0.0522,No Domain
RUSILVERMINE,RUSILVERMINE,161509.90 RUSILVERMINE,$0.0520,No Domain
DESILVER,DESILVER,3333333.33 DESILVER,$0.0507,No Domain
IPAYCA,IPAYCA,2000000 IPAYCA,$0.0507,No Domain
FARMBOND 6.21%,FB03,12124959.90 FB03,$0.0504,agrogenesis.in
AGROGENESIS,AGRO,0.00587 AGRO,$0.0500,agrogenesis.in
RURHODIUM,RURHODIUM,476190.48 RURHODIUM,$0.0495,No Domain
UMC,UMC,310309332.77 UMC,$0.0492,No Domain
VOD,VOD,171444445 VOD,$0.0483,No Domain
ROSEAU,ROSEAU,13181.55 ROSEAU,$0.0482,No Domain
CARHODIUM,CARHODIUM,3733333.33 CARHODIUM,$0.0478,No Domain
RUSILVER,RUSILVER,781250 RUSILVER,$0.0476,No Domain
IPAYICE,IPAYICE,8970648.67 IPAYICE,$0.0467,No Domain
SILVERINVEST,SILVERINVEST,1666666.67 SILVERINVEST,$0.0465,No Domain
SILVERESERVE,SILVERESERVE,505050.51 SILVERESERVE,$0.0449,No Domain
VGOK,VGOK,700000015 VGOK,$0.0444,uranium.stellar-commodities.com
Vimy Resources Ltd.,VMY,700000015 VMY,$0.0444,uranium.stellar-commodities.com
RDSA,RDSA,171993346 RDSA,$0.0436,No Domain
ITALYSILVER,ITALYSILVER,1205870.27 ITALYSILVER,$0.0428,No Domain
Kaiser Aluminum,KALU,10000615 KALU,$0.0423,aluminum.stellar-commodities.com
FRGOLDSALES,FRGOLDSALES,1500000 FRGOLDSALES,$0.0421,No Domain
VOW,VOW,203869487.83 VOW,$0.0397,No Domain
HONDA,HONDA,124563906.89 HONDA,$0.0395,No Domain
GOLDNOTERU,GOLDNOTERU,20535714.29 GOLDNOTERU,$0.0389,No Domain
INVZ,INVZ,33600424 INVZ,$0.0373,No Domain
ITSILVERSALE,ITSILVERSALE,2083333.33 ITSILVERSALE,$0.0370,No Domain
NONGFU,NONGFU,139759999.92 NONGFU,$0.0345,No Domain
WHITEAU,WHITEAU,12333.86 WHITEAU,$0.0345,No Domain
ITGOLDMINE,ITGOLDMINE,2083333.33 ITGOLDMINE,$0.0344,No Domain
JAPANGOLD,JAPANGOLD,2083333.33 JAPANGOLD,$0.0340,No Domain
AFREUM IDR,AIDR,316.45 AIDR,$0.0332,afreum.com
BP,BP,153912314.48 BP,$0.0325,No Domain
RHODIUMNOTE,RHODIUMNOTE,847457.63 RHODIUMNOTE,$0.0323,No Domain
RUSILVERSALE,RUSILVERSALE,847457.63 RUSILVERSALE,$0.0323,No Domain
LLOY,LLOY,176940332.22 LLOY,$0.0321,No Domain
AABBG,AABBG,16807.35 AABBG,$0.0318,No Domain
IPAYNOR,IPAYNOR,8167932.70 IPAYNOR,$0.0311,No Domain
YELLOWAU,YELLOWAU,9718.86 YELLOWAU,$0.0303,No Domain
INGOLDSALES,INGOLDSALES,724637.68 INGOLDSALES,$0.0294,No Domain
IPAYUK,IPAYUK,4347826.09 IPAYUK,$0.0292,No Domain
JPSILVERSALE,JPSILVERSALE,1020408.16 JPSILVERSALE,$0.0286,No Domain
GOLDNOTESW,GOLDNOTESW,10405827.26 GOLDNOTESW,$0.0275,No Domain
GoldNote,GOLDNOTE,9803.92 GOLDNOTE,$0.0275,induspay.gold
FARMBOND 10.11%,FB02,18369508.80 FB02,$0.0233,agrogenesis.in
GOLDNOTECN,GOLDNOTECN,6738090.43 GOLDNOTECN,$0.0182,No Domain
PHOR,PHOR,16977928.69 PHOR,$0.0172,No Domain
FRSILVERMINE,FRSILVERMINE,406504.17 FRSILVERMINE,$0.0144,No Domain
GREENAU,GREENAU,8636.91 GREENAU,$0.0142,No Domain
MODL,MODL,30000100 MODL,$0.0127,No Domain
TAIR,TAIR,59595980 TAIR,$0.0108,No Domain
TSLA,TSLA,14337858.14 TSLA,$0.0102,No Domain
XOM,XOM,60679899.64 XOM,$0.00990,No Domain
AFREUM INR,AINR,14.71 AINR,$0.00781,afreum.com
AKRN,AKRN,16844244 AKRN,$0.00725,No Domain
TESLA,TESLA,0 TESLA,null,No Domain
CCI,CCI,0 CCI,null,No Domain
RYMAN,RYMAN,0 RYMAN,null,No Domain
TATA,TATA,0 TATA,null,No Domain
AMT,AMT,0 AMT,null,No Domain
SP500,SP500,0 SP500,null,No Domain
WEYERHAEUSER,WEYERHAEUSER,0 WEYERHAEUSER,null,No Domain
VNA,VNA,0 VNA,null,No Domain
ADANI,ADANI,0 ADANI,null,No Domain
SOLR,SOLR,0 SOLR,null,No Domain
DJI,DJI,0 DJI,null,No Domain
PARAMOUNT,PARAMOUNT,0 PARAMOUNT,null,No Domain
PSA,PSA,0 PSA,null,No Domain
BLUEROCK,BLUEROCK,0 BLUEROCK,null,No Domain
ASX,ASX,0 ASX,null,No Domain
DLR,DLR,0 DLR,null,No Domain
APOLLO,APOLLO,0 APOLLO,null,No Domain
NOMURA,NOMURA,0 NOMURA,null,No Domain
MINDSPACE,MINDSPACE,0 MINDSPACE,null,No Domain
NI225,NI225,0 NI225,null,No Domain
DAX,DAX,0 DAX,null,No Domain
SMI,SMI,0 SMI,null,No Domain
AEON,AEON,0 AEON,null,No Domain
GMG,GMG,0 GMG,null,No Domain
AIR,AIR,0 AIR,null,No Domain
IXIC,IXIC,0 IXIC,null,No Domain
COVIVIO,COVIVIO,0 COVIVIO,null,No Domain
BROADSTONE,BROADSTONE,0 BROADSTONE,null,No Domain
VEREIT,VEREIT,0 VEREIT,null,No Domain
DIAR,DIAR,0 DIAR,null,No Domain
DIGI,DIGI,0 DIGI,null,No Domain
UKX,UKX,0 UKX,null,No Domain
BXMT,BXMT,0 BXMT,null,No Domain
NNN,NNN,0 NNN,null,No Domain
FLCT,FLCT,0 FLCT,null,No Domain
KIMCO,KIMCO,0 KIMCO,null,No Domain
CHMP,CHMP,0 CHMP,null,No Domain
MRVC,MRVC,0 MRVC,null,No Domain
LINK,LINK,0 LINK,null,No Domain
NXRT,NXRT,0 NXRT,null,No Domain
CIM,CIM,0 CIM,null,No Domain
MAC,MAC,0 MAC,null,No Domain
KITE,KITE,0 KITE,null,No Domain
RLJ,RLJ,0 RLJ,null,No Domain
SABRA,SABRA,0 SABRA,null,No Domain
IRT,IRT,0 IRT,null,No Domain
MREIC,MREIC,0 MREIC,null,No Domain
PEB,PEB,0 PEB,null,No Domain
URBAN,URBAN,0 URBAN,null,No Domain
NYMT,NYMT,0 NYMT,null,No Domain
SAGAX,SAGAX,0 SAGAX,null,No Domain
SITE,SITE,0 SITE,null,No Domain
undefined,undefined,undefined undefined,undefined,undefined
'
