name,code,asset_amount,currency_amount,domain,asset_issuer
Apollo Diamond Inc.,ADIA,1999999999,$1.69,labdia.stellar-commodities.com,GAUUOT4TMJRISCPYTJG75YAAFBOEMUCUXACGLE2JJXVAR3772XDK6OJL
The Mosaic Company,MOS,949999998,$1.67,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
Swarovski Diamonds,SVK,1999999999,$1.64,labdia.stellar-commodities.com,GAUUOT4TMJRISCPYTJG75YAAFBOEMUCUXACGLE2JJXVAR3772XDK6OJL
Coffee Beanery,CBRY,3022710406.50,$1.55,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
Hecla Mining,HELCA,3999999998,$1.54,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
KGHM Polska Miedź,KGH,3999999748,$1.51,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
Olam International,OLAM,999999999,$1.41,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
Chevron Corporation,CVX,2146999999,$1.36,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
SNGS,SNGS,268985164.42,$1.33,No Domain,GCNMJWCYTEJFYNK43DIW6ODLHDEFODPXTPV3QIOYVUWSJIGH5YDT7KKS
REIT,REIT,1665301397.31,$1.30,swisscustody.org,GCXOJK55F3UMCSRTQ7YMMMUUPTBOEW7JNMHVP5JAPXGILGSHC723O6Q4
SPROTT,SPROTT,2146999999,$1.28,platinum.stellar-commodities.com,GB3TORQPESHPJO4R62VV43ROKEFTFGLES4FF4JSJMFP7X7FU6HQ2SBSI
EGA,EGA,1003335009,$1.27,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
SVM,SVM,5999999995,$1.25,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
INDV,INDV,2140999999,$1.23,No Domain,GDKBIU2WB35TBSNDFH74VXLNV6TXXAMAXELM4D53JKIUXQWQ2FOAHPAU
SINOPEC,SINOPEC,2146999999,$1.21,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
Sony Group Corp.,SONY,1999999999,$1.20,silicon.stellar-commodities.com,GAEKCEF6ERJYCHZGQZQXKDADGJ6OTVRCWSBPHGATFXWO2BM5JIE73Z2C
DB,DB,286444455.19,$1.16,No Domain,GBBBKVDTVYK3D6VPRM6T2I63XHM6PJAAS5T4T25WTVL3AD2Q5VX6HESG
Fortuna Silver Mines,FVI,3999999998,$1.11,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
GPM,GPM,3999999443,$1.08,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
Uranium One,URO,2146999999,$1.07,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Enel S.p.A.,ENEL,2146999999,$1.06,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
FDP,FDP,999999999,$1.06,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
STEEM,STEEM,210444487.20,$1.03,No Domain,GBOGBKAHMXIGYHA5JRPOILGM37SJLQ52DISXCKJECAVKOZQ3OQ3J47RO
INDUSXBRICS,INDUSXBRICS,30000000,$1.03,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
THBV,THBV,2140999999,$0.996,No Domain,GDKBIU2WB35TBSNDFH74VXLNV6TXXAMAXELM4D53JKIUXQWQ2FOAHPAU
AEM,AEM,2146999999,$0.908,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
CBTL,CBTL,1499440534,$0.899,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
South32,S32,2099999997,$0.888,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Shell PLC,SHELL,2146999999,$0.876,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
Cal-Maine Foods Inc.,CALM,999999999,$0.841,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
DRDGOLD Limited,DRD,2146999999,$0.838,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
Alcoa Corporation,ALCOA,1444444444,$0.832,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
KAZ,KAZ,2146999999,$0.823,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
WRN,WRN,2146999999,$0.817,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
INDUSALGO,INDUSALGO,39999991,$0.812,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
Kinross Gold Corp.,KGC,2146999999,$0.801,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
Harmony Gold,HAR,2146999999,$0.792,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
KOZA,KOZA,105263157.89,$0.786,No Domain,GD7BRTB5BOZZRDCMQSP2QK7SRWQRHEZIQ6W47QLGIAQQYDTO4R2DFHLP
BKAU,BKAU,1022322575.48,$0.763,No Domain,GBWKSMDG7LIDERBDLJMV2CSGUXOYKSS422QRMZBO5FCJKWGG2REF2XYR
ZML,ZML,999999999,$0.746,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
TSM,TSM,1000000000,$0.704,silicon.stellar-commodities.com,GAEKCEF6ERJYCHZGQZQXKDADGJ6OTVRCWSBPHGATFXWO2BM5JIE73Z2C
ADAG,ADAG,2146999999,$0.688,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
Franco-Nevada Corp.,FNV,2146999999,$0.681,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
YAMA,YAMA,270053180,$0.680,No Domain,GBWKSMDG7LIDERBDLJMV2CSGUXOYKSS422QRMZBO5FCJKWGG2REF2XYR
Gatos Silver Inc.,GATO,3999999553,$0.677,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
TAI,TAI,2140999999,$0.671,No Domain,GDKBIU2WB35TBSNDFH74VXLNV6TXXAMAXELM4D53JKIUXQWQ2FOAHPAU
PJSC Polyus,PLZL,2146999999,$0.662,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
INDUSXGOLD,INDUSXGOLD,30590434.57,$0.660,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
USAS,USAS,2146999999,$0.656,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
AYA,AYA,2146999999,$0.654,No Domain,GADXSUAABO5V647OSEQFR7T4ZOMIKUL5A43OJGLCCDBPT2DYX4WBQJHY
INDUSX,INDUSX,26294156.26,$0.653,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
Rio Tinto Group,RIO,2146999999,$0.649,iron.stellar-commodities.com,GCD6T6GKYMGIC6LD7NH3STYNUXDEGIQTZF25XHC2GA4SMYCF2NP3C6QN
Sandstorm Gold Ltd.,SSAU,2146994444,$0.649,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
Rosneft Oil Company,RSNFT,2146999999,$0.647,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
INDUSXRUBLE,INDUSXRUBLE,30000000,$0.646,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
McCafe,MCD,1009999370,$0.641,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
GOA LANDBANK,GOI,162799994.90,$0.640,agrogenesis.in,GAEOCYPIX36WFIJH4JS4AYZPAJLQBI6BTA5TWCDACGHY3JFHTUOAFARM
Georgia Pacific,GPFC,1999999999,$0.639,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
Rio Tinto Group,RIO,1999999999,$0.634,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
BVN,BVN,3999998873,$0.619,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
Norilsk Nickel,NNIC,1999999999,$0.619,iron.stellar-commodities.com,GCD6T6GKYMGIC6LD7NH3STYNUXDEGIQTZF25XHC2GA4SMYCF2NP3C6QN
POLY,POLY,4293999998,$0.613,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
CPAL,CPAL,2140999999,$0.604,No Domain,GDKBIU2WB35TBSNDFH74VXLNV6TXXAMAXELM4D53JKIUXQWQ2FOAHPAU
USSILVER,USSILVER,1735585.73,$0.595,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
Copper Miners ETF,COPX,1112330753,$0.588,StellarETFs.com,GBGHMGCRNOEBTLBL73ZR5R5P5WHC5X24244ITKUDYKXMILJBIPMCNPBK
Fresnillo,FNLPF,4146999368,$0.578,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
Sovereign Gold Bonds,SGB,1464002404,$0.566,swisscustody.org,GAME5YNKHIPRSMN2BI3HLS3OYD4NE6FQ2WKUUJPYYM6GU4MRDUBPHN6B
Coeur Mining Inc.,COEUR,3999999443,$0.558,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
Endeavour Mining,EDV,2146999999,$0.545,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
NOKA,NOKA,2109999999,$0.533,No Domain,GDKBIU2WB35TBSNDFH74VXLNV6TXXAMAXELM4D53JKIUXQWQ2FOAHPAU
Duke Energy Corp,DUKE,2146999999,$0.531,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
ITALYGOLD,ITALYGOLD,34779397.93,$0.529,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
RIPPLE,RIPPLE,83887363.64,$0.525,No Domain,GBOGBKAHMXIGYHA5JRPOILGM37SJLQ52DISXCKJECAVKOZQ3OQ3J47RO
MAG,MAG,345489657.16,$0.521,No Domain,GBWKSMDG7LIDERBDLJMV2CSGUXOYKSS422QRMZBO5FCJKWGG2REF2XYR
SIVR,SIVR,3999999973,$0.507,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
BHP Billiton,BLTN,1999999999,$0.507,iron.stellar-commodities.com,GCD6T6GKYMGIC6LD7NH3STYNUXDEGIQTZF25XHC2GA4SMYCF2NP3C6QN
INDUSXIPAY,INDUSXIPAY,39999988,$0.507,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
IBM Semiconductors,IBM,1999999999,$0.506,silicon.stellar-commodities.com,GAEKCEF6ERJYCHZGQZQXKDADGJ6OTVRCWSBPHGATFXWO2BM5JIE73Z2C
TENCENT,TENCENT,1959217942,$0.497,No Domain,GB7QZLIXRRJSW3524ROKQPCRPNGBNUZP7MKQK724ZVUHDIAWCAASS5OP
TotalEnergies SE,TOTE,2146999999,$0.495,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
Hecla Mining,HL,2146999999,$0.478,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
Peet’s Coffee,PEET,1029444777,$0.475,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
AGROEQUITY,FARM,29904021,$0.474,agrogenesis.in,GAEOCYPIX36WFIJH4JS4AYZPAJLQBI6BTA5TWCDACGHY3JFHTUOAFARM
Rio Tinto Group,TINTO,999999999,$0.461,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Paladin Energy Ltd.,PDN,2146999999,$0.454,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Mega Uranium Ltd.,MGA,2146999999,$0.454,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Navoi Mining,NMMC,2146999999,$0.454,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
KAP,KAP,2146999999,$0.454,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
BAIR,BAIR,2140999999,$0.453,No Domain,GDKBIU2WB35TBSNDFH74VXLNV6TXXAMAXELM4D53JKIUXQWQ2FOAHPAU
Valore Metals Corp.,VAL,2146999999,$0.452,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
AMD,AMD,2157000000,$0.446,silicon.stellar-commodities.com,GAEKCEF6ERJYCHZGQZQXKDADGJ6OTVRCWSBPHGATFXWO2BM5JIE73Z2C
LG,LG,159394495.63,$0.445,No Domain,GDY7LCU3O5N2OLQNXEZ7RD53QJMHAB3FFJBGKJ65YK4D43EMJKP45BMU
SNA,SNA,2099999997,$0.444,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
GOLDTRADE,GOLDTRADE,4166666.67,$0.433,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
Rayonier Inc.,RYN,1999999994,$0.423,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
Uranium Energy Corp.,UEC,1999999999,$0.422,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Coeur Mining Inc.,CDE,2146999999,$0.419,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
UROY,UROY,2146999999,$0.419,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Iberdrola,IBD,2146999999,$0.419,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
CENP,CENP,2140999999,$0.418,No Domain,GDKBIU2WB35TBSNDFH74VXLNV6TXXAMAXELM4D53JKIUXQWQ2FOAHPAU
B2Gold,BTG,2146999999,$0.413,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
92 Energy Ltd.,92E,2146999999,$0.413,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
QAL,QAL,2099999997,$0.410,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Tata Coffee,TACF,2099999444,$0.410,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
Strauss Group Ltd.,STRS,2099999444,$0.410,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
Petropavlovsk PLC,POG,2146999999,$0.408,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
Energy Fuels Inc.,EFI,2146999999,$0.407,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
United Company RUSAL,RUSAL,2099999997,$0.407,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Zinzino AB,ZZB,2099999987,$0.404,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
THC,THC,2094444444,$0.403,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
Sumitomo Forestry,SFY,2098798798,$0.397,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
Weyerhaeuser Company,WEY,1999999999,$0.390,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
BHP Billiton,BHP,1999999999,$0.390,coal.stellar-commodities.com,GBLXTN45XHGJG5E64HTLQJUM3AWLCGMQAEARXY6MTHBQKUHJWG5UPZHI
Vedanta Limited,VEDL,1999999998,$0.390,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Gold Fields Ltd.,GFI,2146999999,$0.389,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
Rockwell Diamonds,RKWL,2146999999,$0.389,diamond.stellar-commodities.com,GCR6FENAHT7GO5W4JEMUXCRZOZ2TDO457OWQHEJYTFNLTOZHKKJBXCWX
Adani Power Ltd,ADPW,2146999999,$0.389,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
CGN,CGN,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Aura Energy Ltd.,AURA,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Anfield Energy Inc.,AEC,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
ERA,ERA,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Bannerman Energy,BMN,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Ur-Energy Inc.,URE,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Manhattan Corp. Ltd.,MHC,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
IsoEnergy Ltd,ISO,2146999999,$0.389,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
RFP,RFP,1999999996,$0.387,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
WUC,WUC,2146999999,$0.386,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Anglo American PLC,AAL,1999999999,$0.384,coal.stellar-commodities.com,GBLXTN45XHGJG5E64HTLQJUM3AWLCGMQAEARXY6MTHBQKUHJWG5UPZHI
Franco-Nevada Corp.,FNV,1999999999,$0.384,iron.stellar-commodities.com,GCD6T6GKYMGIC6LD7NH3STYNUXDEGIQTZF25XHC2GA4SMYCF2NP3C6QN
MADN,MADN,1999999963,$0.384,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Azincourt Energy,AAZ,2146999999,$0.381,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
ALX Uranium Corp.,ALX,2146999999,$0.381,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
General Atomics,GENA,2146999999,$0.381,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
PLU,PLU,2146999999,$0.381,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Yunan Aluminium Co.,YUN,2099999979,$0.381,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
WFG,WFG,2099999974,$0.381,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
Lavazza,LVZA,2009999994,$0.381,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
Coal India Ltd.,CIL,1999999999,$0.379,coal.stellar-commodities.com,GBLXTN45XHGJG5E64HTLQJUM3AWLCGMQAEARXY6MTHBQKUHJWG5UPZHI
Surteco Group,SUR,2079999999,$0.377,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
AVNO,AVNO,4146999991,$0.376,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
CNNC,CNNC,2146999999,$0.376,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Elevate Uranium Ltd.,EUL,2146999999,$0.376,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
Caffe Nero,NERO,1999999444,$0.376,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
Tully’s Coffee,TULY,2109999997,$0.374,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
DAI,DAI,148404238,$0.374,No Domain,GBBBKVDTVYK3D6VPRM6T2I63XHM6PJAAS5T4T25WTVL3AD2Q5VX6HESG
Norsk Hydro ASA,NORSK,1999999969,$0.373,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
MSN,MSN,2049999993,$0.372,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
SUNGOLD,SUNGOLD,281435.26,$0.370,No Domain,GCPEXGL2NAMN47XAUSWN6KGVDRUCNHICZSJCL2UUHBUOBPOXWJUPABDC
ANG,ANG,2146999999,$0.368,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
Xinfa Group Co.,XINF,2009999997,$0.364,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Denison Mines,DNN,2146999999,$0.363,uranium.stellar-commodities.com,GDGCFLA6IHQYE3O2J2HRQ2NMM2MXNBUABZQKHOMYIDOI5J3QJFD5ZMV2
American Woodmark,AMWD,1999999999,$0.362,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
ACNR Holdings Inc.,ACNR,1999999999,$0.362,coal.stellar-commodities.com,GBLXTN45XHGJG5E64HTLQJUM3AWLCGMQAEARXY6MTHBQKUHJWG5UPZHI
DPD,DPD,1999999998,$0.362,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
ZSX,ZSX,1999999998,$0.362,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
